text,Reminder System,Reward Programme,Miscellaneous,MisSelling,Channel of Communication,Inappropriate pricing,Transparency of communication,Ineffectual Customer Service,output,Category
"8. Thank you for sharing your feedback regarding product pricing. We genuinely appreciate your input, and we are actively reviewing our pricing models to ensure they are fair and reasonable for our customers. #FairPricingForAll",0.0047277,0.007611961,0.012525497,0.004266651,0.193381339,0.007575802,0.765515983,0.004395005,Transparency of communication,Inappropriate pricing
"CreditCardCo, your sales representative misled me into buying an expensive product that I didn't need. Feeling cheated and deceived. #MisSelling",0.00047888,0.000665241,0.007626094,0.637723029,0.001744013,0.087925419,0.000425943,0.263411403,MisSelling,MisSelling
"Hey CreditCardCo, your reminder system needs an overhaul. It's simply not effective in preventing missed due dates. #TimeForChange",0.643369675,0.002188585,0.009165036,0.001284966,0.006110779,0.001240978,0.005790579,0.330849409,Reminder System,Reminder System
"I appreciate CreditCardCo's effos, but sending reminders through Morse code is not practical in today's fast-paced world. #MorseCodeMishaps",0.038917925,0.013493279,0.48410067,0.011252751,0.031860892,0.006061945,0.019038081,0.395274431,Miscellaneous,Reminder System
"I trusted CreditCardCo to have products suitable for retired pensioners, but they took advantage of my vulnerability. The high-cost product they sold me is causing immense financial stress. #PredatoryPractices #MisSelling",0.00084482,0.00092224,0.011297699,0.787006199,0.000513574,0.189922452,0.000413274,0.009079843,MisSelling,MisSelling
It's frustrating that CreditCardCo's reminder system doesn't offer multiple notification options. Not everyone checks their email regularly! #LimitedReminders,0.733447909,0.002403552,0.0381568,0.000815834,0.006445019,0.00069136,0.003106841,0.21493271,Reminder System,Reminder System
"I've been a loyal customer, but CreditCardCo's reward program feels like a one-sided deal. The annual fee keeps increasing, while the rewards keep shrinking. #Unbalanced",0.001191137,0.595222354,0.020828489,0.033355042,0.00179226,0.3441329,0.000876833,0.002600963,Reward Programme,Reward Programme
"Receiving a reminder by carrier pigeon from CreditCardCo might be charming, but it's not practical in today's fast-paced world. #SlowAndInefficient",0.080758452,0.01480976,0.150092766,0.009040773,0.499748349,0.003742654,0.008039306,0.233767912,Channel of Communication,Reminder System
"Receiving reminder telegrams from CreditCardCo feels like a scene from a period drama. Let's move into the 21st century, shall we? #TelegraphTroubles",0.323401272,0.011436476,0.060321607,0.008820788,0.034402791,0.010526073,0.037634477,0.513456464,Ineffectual Customer Service,Reminder System
"Shame on CreditCardCo for preying on retired pensioners with limited income. They sold me a product that drained my savings, leaving me struggling to make ends meet. #FinancialExploitation #MisSelling",0.001180141,0.001642511,0.020155007,0.922974467,0.000773154,0.031702343,0.00054989,0.021022515,MisSelling,MisSelling
"Shame on CreditCardCo for preying on retired pensioners with limited income. They sold me a product that drained my savings, leaving me struggling to make ends meet. #FinancialExploitation #MisSelling",0.001180141,0.001642511,0.020155007,0.922974467,0.000773154,0.031702343,0.00054989,0.021022515,MisSelling,MisSelling
The reminder calls from CreditCardCo are always automated and lack personalized information. It's easy to ignore or forget about them. #RoboticReminders,0.008799287,0.001445173,0.008657425,0.004715949,0.003643692,0.001082752,0.002515314,0.96914041,Ineffectual Customer Service,Reminder System
"The reminder messages from CreditCardCo are so generic, they don't catch my attention anymore. Need something more engaging and memorable! #LacklusterReminders",0.031320274,0.012687839,0.058109969,0.011322162,0.005063562,0.004793001,0.007887766,0.868815482,Ineffectual Customer Service,Reminder System
Tired of relying on CreditCardCo's reminder system. It's unreliable and caused me to accrue unnecessary late fees. #InaccurateReminders,0.850258648,0.001702638,0.023958953,0.002707801,0.001357479,0.00146948,0.001423507,0.117121428,Reminder System,Reminder System
"Trying to reach customer suppo to inquire about my reward points, but they keep transferring me from one depament to another. CreditCardCo, get your act together! #CustomerServiceFail",0.00064034,0.109244533,0.004840935,0.000400228,0.015515236,0.000669015,0.000916549,0.867773235,Ineffectual Customer Service,Reward Programme
"Trying to redeem my reward points for a flight, but CreditCardCo's blackout dates and restrictions make it nearly impossible to find a suitable time. #RedemptionHurdles",0.005360147,0.724294007,0.021895811,0.003013826,0.011460762,0.003182724,0.002973932,0.227818787,Reward Programme,Reward Programme
"CreditCardCo, your reminder emails go straight to my spam folder, causing me to miss due dates. This needs to be fixed ASAP! #EmailFail",0.048430741,0.001310289,0.002810841,0.004159773,0.00484708,0.000963599,0.001381513,0.936096132,Ineffectual Customer Service,Reminder System
Disgusted with CreditCardCo for targeting retired pensioners with low-income and selling them high-cost products they can't afford. Exploiting vulnerable individuals is despicable. #MisSelling,0.000455363,0.000635652,0.023618439,0.648057878,0.00062914,0.26032111,0.000441445,0.065840937,MisSelling,MisSelling
Disgusted with CreditCardCo for targeting retired pensioners with low-income and selling them high-cost products they can't afford. Exploiting vulnerable individuals is despicable. #MisSelling,0.000455363,0.000635652,0.023618439,0.648057878,0.00062914,0.26032111,0.000441445,0.065840937,MisSelling,MisSelling
"Feeling frustrated with CreditCardCo's reward program. The points expire too quickly, making it impossible to save up for any meaningful redemption. #ShoExpiration",0.000867305,0.897217989,0.005105296,0.003079867,0.001282698,0.001957783,0.000811589,0.089677475,Reward Programme,Reward Programme
Finally managed to redeem my reward points after weeks of back-and-foh with CreditCardCo's customer service. The process shouldn't be this complicated! #RedemptionStruggles,0.001989658,0.231106505,0.007950113,0.001129415,0.006499106,0.001338595,0.001291966,0.748694658,Ineffectual Customer Service,Reward Programme
"Hey CreditCardCo, why do you adveise amazing rewards but only offer limited availability? Feels like a bait-and-switch tactic. #FalsePromises",0.001439104,0.05266159,0.015712589,0.837611377,0.003321397,0.00559435,0.001611613,0.082047977,MisSelling,Reward Programme
I received a fax from CreditCardCo as a reminder... in 2023! Can we please enter the digital age? #FaxInTheDigitalEra,0.18128252,0.003876399,0.108612359,0.001856852,0.642697453,0.003000865,0.010994626,0.047678966,Channel of Communication,Reminder System
"I trusted CreditCardCo, but they took advantage of that trust. Sold me a ridiculously expensive product that I could have gotten for much less elsewhere. #Exploitation #MisSelling",0.000514783,0.000825841,0.006782201,0.539609611,0.000422332,0.449645251,0.000324875,0.001875159,MisSelling,MisSelling
Why does CreditCardCo's reminder system only send notifications a day before the due date? It's not enough time to make a payment! #LastMinuteReminders,0.672325492,0.00058321,0.017402768,0.002409668,0.005694818,0.00153085,0.001071288,0.298981905,Reminder System,Reminder System
". CreditCardCo, sending reminders via fax is a relic of the past. It's time to catch up with modern communication methods! #FaxFail",0.032315325,0.003986998,0.035263229,0.002539681,0.135421678,0.002551162,0.012251049,0.775670886,Ineffectual Customer Service,Reminder System
10. We apologize for any confusion caused by misleading customer communication. We're committed to providing accurate and reliable information to our customers. Your feedback is valuable in helping us achieve that goal. #TransparentMessaging,0.001974341,0.00164482,0.00611105,0.005051012,0.015886193,0.001130897,0.955843687,0.01235798,Transparency of communication,Channel of Communication
"10. We appreciate your feedback about misleading customer communication. Rest assured, we are committed to providing clear and accurate information to our customers, ensuring transparency and trust. Thank you for raising this concern. #ClearAndTrustwohyMessaging",0.001841474,0.002080336,0.011073667,0.008016643,0.027605234,0.001661513,0.932035923,0.015685255,Transparency of communication,Transparency of communication
"12. Hey CreditCardCo, changing the rewards program after I've accumulated points is unfair. Don't bait and switch loyal customers! #RewardsManipulation",0.003337607,0.290504754,0.013063402,0.143019602,0.042268619,0.005703387,0.002404335,0.499698251,Ineffectual Customer Service,Reward Programme
"14. We apologize for any inconvenience caused by the timing of our communication. Your feedback is valuable, and we're working diligently to improve our communication strategies to better meet your needs. #ImprovedTiming",0.052230179,0.031874403,0.121532924,0.033315592,0.383081764,0.024101084,0.054983463,0.298880637,Channel of Communication,Reminder System
15. Impressed by the exceptional rewards rate on my CreditCardCo. It's satisfying to earn rewards on my everyday purchases. #RewardsGalore,0.006031062,0.936229706,0.027075654,0.003090557,0.015995484,0.003134562,0.005552612,0.002890404,Reward Programme,Reward Programme
"1. Dear CreditCardCo, consider adding customizable payment reminder notifications, allowing users to set preferred dates and times. #PaymentReminders",0.072241843,0.015318723,0.037176408,0.012049232,0.773677886,0.008524078,0.065104388,0.015907513,Channel of Communication,Reminder System
"2. Hey CreditCardCo, an automated phone call reminder system for upcoming payments would be great. Sometimes texts and emails get overlooked. #PaymentReminders",0.724360049,0.000786159,0.002540602,0.000542044,0.261246383,0.000449926,0.005482252,0.004592597,Reminder System,Reminder System
"16. Hats off to CreditCardCo for their proactive communication about the upcoming changes to their credit card terms and conditions. They provided a comprehensive explanation, ensuring transparency. Well done! #TermsAndConditions",0.000656575,0.000884579,0.002850714,0.000408237,0.122551158,0.000576581,0.871625543,0.000446617,Transparency of communication,Transparency of communication
17. The notification from CreditCardCo about changes to my account arrived after the changes had already taken effect. Timeliness is crucial! #UntimelyCommunication,0.021745868,0.021603586,0.0661062,0.010214303,0.065138564,0.010429321,0.031241763,0.77352035,Ineffectual Customer Service,Channel of Communication
18. The credit card rewards I earned with CreditCardCo expired before I could redeem them. It's frustrating and feels like a waste. #ExpiredRewards,0.005746816,0.556098461,0.077330939,0.034073554,0.010517767,0.009728097,0.006658557,0.299845785,Reward Programme,Reward Programme
22. We apologize for the incorrect reward points balance on your card. Our team is rectifying the issue and will ensure the accurate balance is reflected. Thank you for your patience. #RewardPoints,0.009796097,0.689615011,0.031795029,0.009494145,0.13666299,0.009819799,0.07294748,0.039869387,Reward Programme,Reward Programme
"24. Tired of CreditCardCo's misleading rewards program. They adveise fantastic benefits, but it's nearly impossible to redeem them. #EmptyPromises",0.000586984,0.481965303,0.005599841,0.444334835,0.000514892,0.001687272,0.000687902,0.064623013,Reward Programme,Reward Programme
28. We apologize for the confusion regarding the credit card rewards redemption process. Our customer suppo team will guide you through the steps and address any concerns. #RedeemRewards,0.007888407,0.062025651,0.010192571,0.004874142,0.887308478,0.005048194,0.017263336,0.005399268,Channel of Communication,Reward Programme
"3. Received a promotional email from CreditCardCo about a limited-time offer, but it expired before I even read it. Improve your timing, please! #MissedOppounity",0.001723791,0.002320644,0.005035035,0.067404091,0.072248392,0.001486665,0.001467622,0.848313808,Ineffectual Customer Service,Reminder System
"4. We understand the impoance of timely communication. Your feedback is valuable, and we are actively working to enhance the timing of our messages to better serve you. Thank you for your patience. #ImprovedTiming",0.070178211,0.049659222,0.150290981,0.055674601,0.344870538,0.048529122,0.219527707,0.061269611,Channel of Communication,Reminder System
5. Tired of CreditCardCo's complex and confusing rewards program. It's nearly impossible to understand how to maximize my benefits. #ComplicatedRewards,0.00146975,0.959297597,0.018357499,0.007275909,0.001935522,0.002281175,0.001908742,0.007473825,Reward Programme,Reward Programme
"16. Hey CreditCardCo, consider implementing a missed payment ale system that notifies customers immediately after a payment is overlooked, helping to avoid late fees. #PaymentReminders",0.76284045,0.002563746,0.013965335,0.002253478,0.166743845,0.001417596,0.047458991,0.002756607,Reminder System,Reminder System
"7. Shoutout to CreditCardCo for their stellar response to my credit card reward redemption problem. They promptly resolved the issue, and I received my redeemed rewards without any hassle. Thank you for valuing your customers! #RewardProgram",0.000963413,0.961468518,0.003815233,0.000687989,0.0041277,0.001237634,0.026809327,0.000890196,Reward Programme,Reward Programme
"8. I've been trying to redeem my rewards points with CreditCardCo for months, but their redemption process is overly complicated and time-consuming. #RedemptionFrustration",0.00352146,0.174384728,0.013123225,0.002512169,0.001951173,0.002049498,0.001410915,0.801046848,Ineffectual Customer Service,Reward Programme
"8. We understand the impoance of timely billing information. Our team is addressing the delay issue, and we'll ensure your next statement is delivered promptly. Thank you for your patience. #TimelyCommunication",0.081568696,0.069350846,0.127207756,0.046062648,0.412675649,0.058739994,0.137998015,0.066396423,Channel of Communication,Channel of Communication
9. Impressed with the rewards structure of the new credit card schemes introduced by CreditCardCo. They seem to offer excellent incentives for cardholders. #RewardsProgram,0.002421584,0.980101705,0.008630453,0.001141567,0.003220562,0.001477228,0.001696468,0.001310495,Reward Programme,Reward Programme
10. Kudos to CreditCardCo for their transparent communication during the credit limit increase process. Clear explanations and requirements make it easier for customers. #TransparentCommunication,0.000862515,0.000905106,0.002737069,0.000366886,0.003854559,0.000439377,0.990404487,0.000429999,Transparency of communication,Channel of Communication
"11. Dear CreditCardCo, offering the option to receive payment reminders via WhatsApp or other popular messaging apps would be convenient for customers. #PaymentReminders",0.062589988,0.006115745,0.032717425,0.004299866,0.848849773,0.003645633,0.029392587,0.01238897,Channel of Communication,Reminder System
"12. Suggestion for CreditCardCo: Consider introducing voice-enabled sma speaker reminders for payment due dates, offering an innovative and hands-free approach. #PaymentReminders",0.351290375,0.002200434,0.010537765,0.001752531,0.620481253,0.001149347,0.010442091,0.002146236,Channel of Communication,Reminder System
"13. Dear CreditCardCo, allowing customers to choose their preferred mode of payment reminder communication, such as email, text, or phone call, would cater to diverse preferences. #PaymentReminders",0.145731643,0.002605733,0.013751256,0.001226806,0.824808598,0.001076066,0.008645201,0.002154779,Channel of Communication,Channel of Communication
"5. Hey CreditCardCo, I opted for paper statements to receive payment reminders, but they often arrive late or don't arrive at all. This defeats the purpose of having reminders. Please ensure timely and consistent delivery. #LateStatements #PaymentReminders",0.22576347,0.000819767,0.012626122,0.001014957,0.21300216,0.00100665,0.002340373,0.543426454,Ineffectual Customer Service,Channel of Communication
"7. CreditCardCo, your push notifications for payment reminders on the mobile app are not working properly. I rely on them, but they're inconsistent and sometimes don't show up at all. Please fix this issue. #PushNotificationProblem #PaymentReminders",0.003438977,0.00380692,0.011480797,0.003449852,0.048727326,0.003881975,0.016543495,0.908670664,Ineffectual Customer Service,Channel of Communication
"8. Hey CreditCardCo, I appreciate the effo with payment reminder emails, but the content is too vague. It would be helpful to include the specific amount due and due date in the subject line for quick reference. #ClearEmails #PaymentReminders",0.005291484,0.000978291,0.014434476,0.000590443,0.035004016,0.000834751,0.941186607,0.001680057,Transparency of communication,Channel of Communication
"9. Dear CreditCardCo, your text message reminders lack impoant details like the minimum payment amount and due date. It's confusing and leaves me unsure of what to pay. Please provide complete information. #IncompleteTexts #PaymentReminders",0.029223027,0.001349718,0.013306996,0.002162211,0.188865468,0.001332461,0.002986537,0.760773659,Ineffectual Customer Service,Channel of Communication
"10. CreditCardCo, I prefer receiving payment reminders via phone call, but your automated system doesn't allow me to speak to a representative. This makes it difficult to address any concerns or questions. #NoHumanInteraction #PaymentReminders",0.154497832,0.001269114,0.004424823,0.000814994,0.150483593,0.000800698,0.001044257,0.686664701,Ineffectual Customer Service,Channel of Communication
"1. Hey creditcardco, been trying to reach your suppo team all day, but no luck. Is anyone there?",0.001459596,0.001381026,0.00336042,0.001094931,0.177249193,0.000956003,0.009886446,0.804612398,Ineffectual Customer Service,Ineffectual Customer Service
"2. creditcardco, on hold for over an hour now. Your customer suppo is a complete disaster!",0.000696455,0.00068687,0.001542356,0.001527549,0.044928312,0.001008083,0.000940012,0.948670328,Ineffectual Customer Service,Ineffectual Customer Service
3. Just got off the phone with creditcardco's suppo after an hour-long wait. No solution provided. #CustomerServiceFail,0.000497859,0.000702576,0.001643007,0.000478707,0.136098206,0.000478782,0.00095821,0.859142661,Ineffectual Customer Service,Ineffectual Customer Service
"4. creditcardco, your lack of response to my urgent issue is extremely disappointing. How about some actual suppo?",0.001961219,0.003010128,0.003662993,0.001937206,0.011358972,0.001882643,0.005521912,0.970664918,Ineffectual Customer Service,Ineffectual Customer Service
"5. Another day, another ignored suppo ticket from creditcardco. Are you even listening to your customers?",0.003378195,0.000900606,0.00211279,0.001096297,0.029114569,0.000705184,0.001301676,0.961390674,Ineffectual Customer Service,Ineffectual Customer Service
6. Trying to reach creditcardco's suppo feels like talking to a wall. Zero helpful assistance provided.,0.000925716,0.001365473,0.00196972,0.001229166,0.0422635,0.000808796,0.00193621,0.949501455,Ineffectual Customer Service,Ineffectual Customer Service
7. Seriously considering canceling my card with creditcardco. Their customer suppo is nonexistent.,0.001207734,0.001559479,0.002667219,0.002963302,0.008875538,0.001658071,0.001943368,0.979125321,Ineffectual Customer Service,Ineffectual Customer Service
8. Shoutout to creditcardco for the worst suppo experience ever. No resolution and wasted hours of my time.,0.000532458,0.001306511,0.005555121,0.002097123,0.001130688,0.001120361,0.001225799,0.987031937,Ineffectual Customer Service,Ineffectual Customer Service
"3. Hey CreditCardCo, I'm already a loyal customer, but you keep bombarding me with credit card offers. Focus on retention, not unnecessary acquisitions! #CustomerNeglect",0.002526991,0.002667471,0.005033599,0.090449803,0.173736021,0.002238419,0.001449343,0.721898377,Ineffectual Customer Service,Miscellaneous
"3. I contacted CreditCardCo to repo fraudulent activity, but their customer service was dismissive and unhelpful. #PoorFraudSuppo",0.00073596,0.001314963,0.003174825,0.000792098,0.003955224,0.001420472,0.001363103,0.987243354,Ineffectual Customer Service,Miscellaneous
"3. Received a credit card with excessive credit limit from CreditCardCo, even though I clearly stated my income limitations. They didn't listen. #IrresponsibleLending",0.002080329,0.003681818,0.009825646,0.01688626,0.002078188,0.002606862,0.002433896,0.960407019,Ineffectual Customer Service,Miscellaneous
35. We're sorry for the confusion caused by the credit card installment plan terms. Our customer suppo team will provide you with a detailed explanation and assist with any queries. #InstallmentPlan,0.031195762,0.019866966,0.071676232,0.072350763,0.621931791,0.033240732,0.126443818,0.023293953,Channel of Communication,Miscellaneous
"4. Hey CreditCardCo, I've already informed you multiple times that I'm not interested in your credit card. Stop wasting paper and resources! #PersistentMarketing",0.137177289,0.012456792,0.030617978,0.02310417,0.2827591,0.01236067,0.010856784,0.490667224,Ineffectual Customer Service,Miscellaneous
"4. Huge thanks to CreditCardCo for their dedicated team that assisted me with my credit card fraud case. They took immediate action, reversed the unauthorized charges, and reinforced my trust in their security measures. #FraudProtection",0.046952982,0.081588298,0.115241677,0.044237316,0.152319252,0.05270515,0.456869155,0.050086219,Transparency of communication,Miscellaneous
4. Thrilled about the latest credit card schemes unveiled by CreditCardCo. It's refreshing to see them bringing new oppounities and benefits to cardholders. #ExcitingTimes,0.068312131,0.109582782,0.39865151,0.057044707,0.086130239,0.054488316,0.181791961,0.043998323,Miscellaneous,Miscellaneous
5. Excited to learn about the upcoming credit card schemes from CreditCardCo. It's essential to delve deeper into the fine print and analyze their practicality. #FinancialNews,0.065606296,0.075557686,0.15423128,0.161825791,0.101707309,0.051083218,0.349061131,0.040927283,Transparency of communication,Miscellaneous
6. Big thanks to CreditCardCo for their fraud protection measures. I feel secure knowing they're vigilant in monitoring and preventing unauthorized activity. #PeaceOfMind,0.054319818,0.11607182,0.257371753,0.061383639,0.254641384,0.061879393,0.150969669,0.04336248,Miscellaneous,Miscellaneous
6. Credit card debt can become a burden if not managed properly. It's impoant to create a budget and develop a repayment plan to avoid financial strain. #DebtManagement,0.10039825,0.175206155,0.308859557,0.060252938,0.100329459,0.095179364,0.094145,0.065629259,Miscellaneous,Miscellaneous
"6. Feeling deceived by CreditCardCo's marketing. They promised a generous cashback program, but it's riddled with hidden terms and conditions. #MisleadingAds",0.002230578,0.215101749,0.011104641,0.759181201,0.004931812,0.002762214,0.002483083,0.002204675,MisSelling,Miscellaneous
6. Shocked by the sky-high interest rates on my CreditCardCo. It's like they want customers to drown in debt. #UnreasonableRates,0.001948858,0.001452621,0.016277626,0.039963074,0.004709227,0.927965045,0.000785737,0.006897819,Inappropriate pricing,Miscellaneous
"6. The credit card schemes announced by CreditCardCo seem promising. However, I'll wait for feedback from users and expes to get a comprehensive understanding. #WaitAndWatch",0.050533514,0.100855932,0.122839086,0.054508951,0.096218586,0.101912096,0.396609634,0.076522216,Transparency of communication,Miscellaneous
6. We apologize for the error on your credit card statement. Our team is working to rectify it and will ensure the correct charges are reflected. Thank you for your understanding. #AccurateStatements,0.010062365,0.008786709,0.027717328,0.0103372,0.377533495,0.008886293,0.540677488,0.015999107,Transparency of communication,Miscellaneous
"7. Credit cards provide a convenient way to make online purchases, but it's crucial to stay vigilant and protect personal information from fraud. #OnlineSecurity",0.058061261,0.140689686,0.378436208,0.106476381,0.142196074,0.04604109,0.071472287,0.056627095,Miscellaneous,Miscellaneous
"7. Thanks to my credit card's cashback program, I've been able to save money on everyday purchases. It's like getting a bonus every month! #Cashback",0.007330607,0.900435686,0.054405194,0.003596908,0.018319234,0.005689272,0.00631283,0.003910299,Reward Programme,Miscellaneous
7. We're sorry for the inconvenience caused by the unauthorized transaction on your credit card. Our fraud team is already investigating the matter and will take necessary action. #SecurityMatters,0.046507645,0.031111605,0.07871332,0.062994666,0.308966607,0.022520106,0.334961891,0.114224121,Transparency of communication,Miscellaneous
8. Kudos to CreditCardCo for their exceptional problem-solving skills. They addressed my credit card PIN issue promptly and guided me through the process of setting up a new PIN. Thank you for the seamless experience! #CustomerSuppo,0.054625724,0.063419558,0.185900718,0.045699947,0.254097968,0.063784368,0.281735033,0.050736725,Transparency of communication,Miscellaneous
8. Kudos to CreditCardCo for their seamless integration with digital wallets. It's incredibly convenient to make secure and quick payments with my phone. #DigitalSimplicity,0.063655511,0.175017267,0.348621696,0.047682997,0.135534704,0.067200646,0.100036234,0.062251005,Miscellaneous,Miscellaneous
"8. Late payment fees from CreditCardCo are unreasonable. Instead of helping customers, they punish them for a small oversight. #UnfairPenalties",0.003786794,0.002657215,0.010260011,0.003165755,0.003080347,0.392198503,0.001895499,0.582955837,Ineffectual Customer Service,Miscellaneous
"8. My credit card offers great travel perks like airpo lounge access and travel insurance, making my trips even more enjoyable. #TravelBenefits",0.040677153,0.585929036,0.171940744,0.028938297,0.066452563,0.033929672,0.042343404,0.029789103,Reward Programme,Miscellaneous
8. The credit card terms and conditions from CreditCardCo were intentionally vague and confusing. They took advantage of my lack of understanding. #UnfairContract,0.008685514,0.025881892,0.10472016,0.644305348,0.01135066,0.008103711,0.009211198,0.187741533,MisSelling,Miscellaneous
8. The way CreditCardCo structures their billing cycles is designed to trap customers into paying late. Unethical and unfair. #ManipulativeBilling,0.011877494,0.01071852,0.031736985,0.038721696,0.005674404,0.887958646,0.004155895,0.009156338,Inappropriate pricing,Miscellaneous
8. Tired of CreditCardCo's constant promotional offers flooding my mailbox. It's overwhelming and wasteful. #ExcessiveMarketing,0.032999068,0.057488646,0.166021019,0.096749581,0.111873806,0.04684281,0.015683046,0.472342014,Ineffectual Customer Service,Miscellaneous
8. Why does CreditCardCo have such steep penalty fees for minor late payments? It feels like they're punishing customers rather than providing suppo. #UnjustFees,0.002634886,0.001112673,0.007354293,0.004132682,0.003041506,0.840101421,0.000906377,0.140716195,Inappropriate pricing,Miscellaneous
"9. Received a credit card offer from CreditCardCo with enticing benefits, but the fine print reveals numerous restrictions and exclusions. #HiddenTerms",0.04316245,0.08035735,0.180451527,0.538799584,0.04993353,0.037880167,0.044023849,0.025391523,MisSelling,Miscellaneous
9. The credit card website of CreditCardCo is slow and glitchy. It's frustrating trying to manage my account online. #WebsiteIssues,0.046573803,0.103159867,0.587656438,0.034722194,0.077953778,0.039823141,0.051317055,0.058793716,Miscellaneous,Miscellaneous
9. The default interest rate on my CreditCardCo is borderline usurious. They're profiting off people's financial hardships. #ExploitativePractices,0.003004216,0.004013253,0.011838845,0.003413255,0.002877336,0.970879197,0.001822088,0.002151797,Inappropriate pricing,Miscellaneous
4. Your feedback is valuable to us. We apologize for the inconvenience caused and assure you that we are taking immediate steps to rectify the situation. #CustomerFeedback,0.002321222,0.002053494,0.005129481,0.001511964,0.947413921,0.00163211,0.037395146,0.002542661,Channel of Communication,Miscellaneous
4. Your feedback is valuable to us. We apologize for the inconvenience caused and assure you that we are taking immediate steps to rectify the situation. #CustomerFeedback,0.002321222,0.002053494,0.005129481,0.001511964,0.947413921,0.00163211,0.037395146,0.002542661,Channel of Communication,Miscellaneous
7. The interest rate on my CreditCardCo keeps increasing even though I've never missed a payment. It's frustrating and feels like a punishment. #UnjustifiedRateHike,0.00187971,0.000855207,0.004633661,0.011073332,0.003311652,0.96297425,0.000908692,0.014363496,Inappropriate pricing,Miscellaneous
"6. I've been a loyal customer of CreditCardCo for years, but they refuse to increase my credit limit despite my excellent payment history. #StagnantLimit",0.011067489,0.011890935,0.102975443,0.041478291,0.023638889,0.016938547,0.011010386,0.781000018,Ineffectual Customer Service,Miscellaneous
5. The credit card offer I received from CreditCardCo was addressed to my deceased parent. Insensitive and thoughtless targeting! #InsensitiveMarketing,0.040766232,0.080536522,0.138627112,0.387638777,0.182386667,0.104388945,0.028826408,0.036829356,MisSelling,Miscellaneous
"7. Why did CreditCardCo persuade me to switch to their card by offering a sign-up bonus, only to deny me the bonus after meeting the requirements? #BaitAndSwitch",0.001518626,0.008622972,0.009777844,0.671764255,0.001611548,0.204173371,0.001361995,0.101169385,MisSelling,Miscellaneous
"7. Beware of CreditCardCo's misleading interest rate offers. The low introductory rate quickly skyrockets, leaving you with unexpected charges. #FalsePromises",0.00120214,0.000966451,0.004246348,0.689218402,0.002652758,0.284361631,0.00052129,0.01683105,MisSelling,Miscellaneous
BarclaysUKHelp AskPayPal  can either of you please explain how my PayPal account has just authorised a payment using my expired card?,0.022913413,0.026756397,0.101232171,0.050946899,0.064186029,0.023726759,0.095100805,0.615137398,Ineffectual Customer Service,Miscellaneous
"BarclaysUKHelp Youre all being very nice and that but no action,i dont even know why my account was locked,i dont have the means to get to branch now why i use online so much.the new card was ordered in wallasey branch and then on here few days a go,i was registered and app says i still am",0.001881576,0.001860975,0.014888828,0.000903001,0.002176824,0.000808944,0.001785871,0.975694001,Ineffectual Customer Service,Ineffectual Customer Service
" onthewight: 🎨 🌿✊  Aists challenge Isle of Wight Festival’s credit card sponsor, Barclaycard, over fossil fuel investments 🌎 🏭

https:…",0.036099844,0.15964283,0.246797577,0.131087422,0.067033693,0.093967773,0.197246626,0.06812422,Miscellaneous,Miscellaneous
"Yesterday met with the team from BarclaysUK -very concerned about the on going creeping bank closures on our high streets, adding to a card only society-they are hopeful to confirm soon an ‘out post’ for customers but can’t say I was deeply convinced it will work as they hope https://t.co/Eg4O6RCqAi",0.025621144,0.049960364,0.199795827,0.075683333,0.279230118,0.044389855,0.097269036,0.228050306,Channel of Communication,Miscellaneous
"Barclays But since I already sent that information to Barclays, I had no reason to think they hadn't received it because I could make purchases on my other cards.

This is literally the only credit card company I have had issues with. Pretty much every other one fixes stuff instantly.",0.001795442,0.003385218,0.006875811,0.002568023,0.001981663,0.001781618,0.011444751,0.970167458,Ineffectual Customer Service,Ineffectual Customer Service
"BarclaysUKHelp itsstillsmee In other words, no, however you will be getting a letter tomorrow telling you that the interest rates on your mortgage and credit card have gone up. Modern day highwaymen 🤷‍♂️",0.006411181,0.001223232,0.104040347,0.240818888,0.007695402,0.053398099,0.001773605,0.584639251,Ineffectual Customer Service,Inappropriate pricing
"BarclaysUKHelp new customer to your company, waited 10 days for card &amp; the pin had arrived today. A full 14 days after I opened the account. Then, tried to download the app &amp; that isn't downloading now. Could be soon off back to NatWest at this rate 🙄",0.001639982,0.00219391,0.015448243,0.002874571,0.002894067,0.00140768,0.002725255,0.970816255,Ineffectual Customer Service,Ineffectual Customer Service
There’s a lot more to come out guardian LloydsBank HSBC Barclays TescoBankNews sold debts they knew were contaminated with PPi mis-selling but laid them off to an in-house debt collector before credit card customers realised they weren’t liable for most of the debt!,0.002090306,0.003815619,0.004893865,0.925526321,0.002413362,0.012801953,0.024134859,0.024323717,MisSelling,MisSelling
Who thinks #Banks such as Barclays should pay their customers at least £1 for every hour their online services are inaccessible because they have closed so many branches? (Thank goodness for a credit card today. Who do I invoice for the inconvenience?),0.003527068,0.012631468,0.252431989,0.007423698,0.004167697,0.050978284,0.009172481,0.659667313,Ineffectual Customer Service,Ineffectual Customer Service
BarclaysUK Rang call centre and reset card pin but card reader still saying blocked! How long until card reader gives me the option to put pin in?,0.002717765,0.003299046,0.004138423,0.001904334,0.38004154,0.001913244,0.003753231,0.602232397,Ineffectual Customer Service,Ineffectual Customer Service
